"","FPKM.liver.tablemaker"
"1326",0
"1327",13.5781
"1328",2.28657
"1329",0
"1330",103.251
"1331",0.0204719
"1332",3.83842
"1333",0
"1334",0
"1335",0
"1336",4.75759
"1337",0
"1338",0
"1339",5.44832
"1340",1.58106
"1341",0
"1342",0
"1343",0
"1344",0
"1345",0
"1346",69.1512
"1347",48.5053
"1348",2.2694
"1349",0
"1350",0
"1351",3.2944
"1352",10.2447
"1353",19.1786
"1354",4.10801
"1355",4.09789
"1356",4.60002
"1357",0
"1358",14.7184
"1359",33.7346
"1360",0
"1361",32.1718
"1362",0
"1363",5.80665
"1364",0
"1365",0
"1366",0
"1367",3.49574
"1368",1.23732
"1369",24.3714
"1370",0
"1371",0
"1372",0
"1373",0
"1374",5.12077
"1375",6.65848
"1376",0
"1377",6.4533
"1378",0
"1379",0
"1380",0
"1381",0
"1382",11.9057
"1383",10.6788
"1384",0
"1385",0
"1386",2.50564
"1387",0
"1388",0
"1389",0
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",0
"1396",0
"1397",0
"1398",0
"1399",0
"1400",44.5515
"1401",0
"1402",0
"1403",0
"1404",0
"1405",2.03468
"1406",0
"1407",12.8396
"1408",0
"1409",0
"1410",0
"1411",0
"1412",12.3613
"1413",0
"1414",0
"1415",2.53356
"1416",1.4297
"1417",0
"1418",0
"1419",6.63151
"1420",1.9058
"1421",0
"1422",0
"1423",0
"1424",0
"1425",3.16691
"1426",0
"1427",0
"1428",0
"1429",1.93098
"1430",0
"1431",0
"1432",0
"1433",2.94305
"1434",10.9304
"1435",0
"1436",400.844
"1437",0
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0
"1447",0
"1448",0
"1449",4.92589
"1450",5.02058
"1451",0
"1452",10.2544
"1453",0
"1454",0
"1455",5.08893
"1456",0
"1457",1.54816
"1458",0
"1459",0
"1460",0
"1461",0
"1462",3.02862
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",1.3894
"1471",0
"1472",0
"1473",0
"1474",8.24848
"1475",0
"1476",2.21654
"1477",2.26312
"1478",4.02319
"1479",0
"1480",0
"1481",7.45963
"1482",2.31972e-07
"1483",2.58116e-09
"1484",6.42535
"1485",0.0512731
"1486",0
"1487",2.57832
"1488",0
"1489",31.9455
"1490",4.82513
"1491",22.2891
"1492",0
"1493",0
"1494",2.25315
"1495",0
"1496",68.7485
"1497",0
"1498",0
"1499",67.5845
"1500",3.60031e-06
"1501",0
"1502",0
"1503",0
"1504",0
"1505",26.7675
"1506",6.29001
"1507",0
"1508",0
"1509",47.2203
"1510",43.5291
"1511",0
"1512",2.65006
"1513",14.4826
"1514",0
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",0
"1521",9.6262
"1522",0
"1523",2.79876
"1524",0
"1525",0
"1526",0
"1527",2.79296
"1528",0
"1529",3.03761
"1530",0
"1531",0
"1532",0
"1533",0
"1534",0
"1535",0
"1536",0
"1537",1.14777
"1538",0
"1539",0
"1540",0
"1541",4.76442
"1542",4.00743
"1543",0
"1544",68.017
"1545",0
"1546",8.10214
"1547",2.97792
"1548",4.49153
"1549",0
"1550",12.3247
"1551",0
"1552",0
"1553",0
"1554",0
"1555",21.365
"1556",1.71483e-05
"1557",0
"1558",5.63414
"1559",0
"1560",0
"1561",4.54111
"1562",0
"1563",0
"1564",0
"1565",25.4124
"1566",12.2137
"1567",0
"1568",0
"1569",2.03874
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",5.412
"1576",0
"1577",188.349
"1578",8.87538
"1579",0
"1580",12.6024
"1581",0
"1582",0
"1583",0
"1584",2.79433
"1585",0
"1586",0
"1587",0
"1588",6.42291
"1589",0
"1590",8.25747
"1591",4.12042
"1592",0
"1593",0
"1594",0
"1595",3.55484
"1596",0
"1597",0
"1598",2.49494
"1599",0
"1600",3.76412
"1601",4.43769
"1602",0
"1603",0
"1604",0
"1605",0
"1606",0
"1607",0
"1608",0
"1609",4.07747
"1610",0
"1611",0
"1612",0
"1613",0
"1614",4.26
"1615",0
"1616",98.677
"1617",12.9066
"1618",0
"1619",0
"1620",4.05107
"1621",0
"1622",0
"1623",647.527
"1624",5.99084
"1625",0
"1626",34.8115
"1627",5.81617
"1628",0
"1629",1.17951
"1630",1.18223
"1631",0
"1632",0
"1633",1.80016
"1634",1.50102
"1635",12.2214
"1636",0
"1637",4.42588
"1638",5.90445
"1639",0
"1640",0
"1641",0
"1642",0
"1643",0
"1644",2.09296
"1645",0
"1646",0
"1647",4.45218
"1648",4.54306
"1649",0
"1650",2.559
"1651",7.45963
"1652",0
"1653",42.9366
"1654",0
"1655",0
"1656",0
"1657",17.4848
"1658",0
"1659",0
"1660",0
"1661",3.03536
"1662",3.59754
"1663",2.12558
"1664",4.4233
"1665",0
"1666",2.25813
"1667",0
"1668",0
"1669",0
"1670",20.7521
"1671",0
"1672",0
"1673",24.6817
"1674",3.57035
"1675",0
"1676",15.9193
"1677",0
"1678",0
"1679",83.1634
"1680",356.656
"1681",0
"1682",0
"1683",1.91472
"1684",47.7424
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",0
"1691",1.8324
"1692",0
"1693",2.26437
"1694",1.20952
"1695",1.69642
"1696",0
"1697",3.37187
"1698",1.30812
"1699",15.1541
